timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado
1768226400,2026-01-12 14:00:00,2026-01-12 11:00:00,Peteroa,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 14:22:56,NO
1768203000,2026-01-12 07:30:00,2026-01-12 04:30:00,Peteroa,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 11:47:10,NO
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Peteroa,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,2026-01-12 14:22:56,NO
1768199041,2026-01-12 06:24:01,2026-01-12 03:24:01,Peteroa,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,No descargada,,2026-01-12 14:22:56,NO
1768193281,2026-01-12 04:48:01,2026-01-12 01:48:01,Peteroa,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Peteroa/2026-01-12/04-48-01_Peteroa_VIIRS375_Latest.png,2026-01-12 05:35:34,2026-01-12 06:47:23,NO
1768193281,2026-01-12 04:48:01,2026-01-12 01:48:01,Peteroa,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-12 05:35:34,2026-01-12 06:03:55,NO
1768186800,2026-01-12 03:00:00,2026-01-12 00:00:00,Peteroa,MODIS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-12 01:50:50,2026-01-12 06:47:23,NO
1768180800,2026-01-12 01:20:00,2026-01-11 22:20:00,Peteroa,MODIS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-12 00:55:00,2026-01-12 00:55:00,NO
1768163400,2026-01-11 20:30:00,2026-01-11 17:30:00,Peteroa,MODIS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-11 22:57:40,2026-01-12 00:14:15,NO
1768158361,2026-01-11 19:06:01,2026-01-11 16:06:01,Peteroa,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Peteroa/2026-01-11/19-06-01_Peteroa_VIIRS375_Latest.png,2026-01-11 22:57:40,2026-01-12 04:49:27,NO
1768158361,2026-01-11 19:06:01,2026-01-11 16:06:01,Peteroa,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,2026-01-11 22:57:40,2026-01-12 04:49:27,NO
1768157280,2026-01-11 18:48:00,2026-01-11 15:48:00,Peteroa,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768152241,2026-01-11 17:24:01,2026-01-11 14:24:01,Peteroa,VIIRS375,0.0,0.0,EVIDENCIA_DIARIA,NULO,imagenes_satelitales/Peteroa/2026-01-11/17-24-01_Peteroa_VIIRS375_Latest.png,,,NO
1768152241,2026-01-11 17:24:01,2026-01-11 14:24:01,Peteroa,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768137600,2026-01-11 13:20:00,2026-01-11 10:20:00,Peteroa,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768114500,2026-01-11 06:55:00,2026-01-11 03:55:00,Peteroa,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768114081,2026-01-11 06:48:01,2026-01-11 03:48:01,Peteroa,VIIRS375,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768114081,2026-01-11 06:48:01,2026-01-11 03:48:01,Peteroa,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768107961,2026-01-11 05:06:01,2026-01-11 02:06:01,Peteroa,VIIRS375,0.0,0.0,RUTINA,NULO,imagenes_satelitales/Peteroa/2026-01-11/05-06-01_Peteroa_VIIRS375_Latest.png,,,NO
1768107961,2026-01-11 05:06:01,2026-01-11 02:06:01,Peteroa,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768098000,2026-01-11 02:20:00,2026-01-10 23:20:00,Peteroa,MODIS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768073041,2026-01-10 19:24:01,2026-01-10 16:24:01,Peteroa,VIIRS,0.0,0.0,RUTINA,NULO,No descargada,,,NO
1768073041,2026-01-10 19:24:01,2026-01-10 16:24:01,Peteroa,VIIRS375,0.0,0.0,RUTINA,NULO,imagenes_satelitales/Peteroa/2026-01-10/19-24-01_Peteroa_VIIRS375_Latest.png,,,NO
